,textID,text,selected_text,sentiment
7112,e2ab8995d1,Nooo...i forgot my calculator for physics   oh well class is allmost over :3,i forgot my calculator for physics,negative
7136,a4ba901f22,  just listened to the songs on your myspace.  really good,ly goo,positive
7147,81a218143d,  _Vincent  @ i missed the party!!!!  i bought wine and everything!!!,@ i missed the party!!!!  i bought wine and everything!,negative
7149,86adda3a27,"  I`m soo sad. It`s just on the edges of the pages, but it`s not gonna come out. *cries*",o sad,negative
7158,bac11ddc14,  i know. it sucks,. it sucks,negative
7184,295ec1c7e8,i hate the bus...any donations toward my car fund?,i hate the bus..,negative
7225,02fdfe48a0,  _c    Thank you for the FFs my friends!,c    Thank,positive
7227,b084bce92a,"Great meeting...lunch on the patio in the sunshine...nothing more perfect  busy day...time for bed, ahhhhh",Great meeting..,positive
7251,04d47599ad," tell zach & jer I said happy birthday!  they seem like cool brothers, youre lucky haha",e lucky,positive
7252,d258c45fed, take me with you!!!  Have fun!,Have fun,positive
7272,92e8199331,Ugh..just starting another 2 hours of behind the wheel for drivers ed,Ugh..,negative
7274,b3c3dc9e35,"Again, No P.F. Changs for lunch    Booooo","Again, No P.F. Changs for lunch    Boooo",neutral
7285,6b4eb2871c,"  Thanks for the link, ive voted & i`ll send that out too.",Thanks for the link,positive
7288,d1f802d13a,Good night everyone...... Time to go mimmiz......,Good night everyone...,positive
7301,6627c3ad66, Where are u  miss you I hope you are doing well *sending big hugs*,Where are u  miss you I hope you are doing well *sending big hugs,positive
7305,4492448111, yeah I didn`t realize how bad it all was till now,e how bad it all was,negative
7306,d1c5320224, Aww  Yeah I feel you. I know its hard.,. I know its hard,negative
7308,436b24fc93, not sure... there are fanciful expensive ones - but some basic ones are not expensive... Try the 24hr `M` shopping place,not sure... there are fanciful expensive ones - but some basic ones are not expensive.,neutral
7321,0f29927526,Starting class. Today we start MediSoft.,Starting class. Today we start MediSoft,neutral
7331,ba08a82a71,"Just woke up & can`t go back to sleep. Had a txt from the bff sayin if you`re up call me, sounds important but that was 4 hours ago",sounds important bu,positive
7344,04e3c05abb, dammm..i thought i was on to something  lollllll,dammm.,negative
7355,5ea91c2730,"Happy mothers day to those of u that are mothers, and happy mothers day to all of your mothers      I miss my mom....","Happy mothers day to those of u that are mothers, and happy mothers day to all of your mothers      I miss my mom.",positive
7373,885391baa1," Thanks mate, just came on board here at Twitter ...  .. tweet up sounds great..",p sounds great.,positive
7407,f1ffdf3d99,"The sun just came out!!! Pray for me guys!!!  Writing skills test   No pass, no class, no graduate -.-","The sun just came out!!! Pray for me guys!!!  Writing skills test   No pass, no class, no graduate -.",neutral
7408,c0b0c01f67, lucky! been beggin for jury duty for years...they dont ever send me notices! just notices for other people to my address!,..they dont ever send me notices! just notices for other people to my address!,negative
7409,4faad59f38, hey!  YAY! thanks!  wow ur page is awesome!!!!!,!  wow ur page is awesom,positive
7410,3463ecdfd6,Im.in.the.room Im.watching.the.HANNAHmovie.withMOM.She.said.this.film.very.great.,great.,positive
7423,e88799de88,"Good morning World   This will be another wonderfull day, starting with breakfst with champions...  my kids ofcourse",r wonderfull,positive
7436,2873883fa9,"Zen-related stuff: 'Go with the flow.' Very easy to accomplish - it started to rain, so the rain will flush me away",w.' Very easy to accomplish,positive
7438,0af54b2e65, Yes I did see Mitch Hedberg and the whole floss thing.  He`s hilarious.  I <3 him.  Poor guy,g.  He`s hilarious.  I <3 him.  Poor,neutral
7442,d12148ecc8,   I need a wardrobe intervention,I need a wardrobe interventio,neutral
7444,a5a1b3b23e,My car is home. Yay! $613.22 Boo!  I`m paying my mom in installments. I gave her $200 today. I so need to win the lottery. :\,y car is home. Yay! $613.22 Boo!  I`m paying my mom in installments. I gave her $200 today. I so need to win the lottery. :\,neutral
7450,29fa12b338,Good morning!!! Who wants breakfast??,Good morning!!,positive
7469,6368041ff0, I know... It was just a joke... all in good fun...  some people get my humor & some don`t...,. all in good fun.,positive
7473,94231c141c,Chilling out....now the boys have gone  Time To Relax,Chilling out...,positive
7479,a82705a699," Oh ok,Thanks.Dont know where the courthouse id either,I`ll learn though.Any nkotb? Twitter stole my pic again  it hates me",t hates,negative
7487,ff5673deb0,At work... supposed to be a day off but too much work to get done for PLM World... sigh,too much work to get done fo,negative
7492,1200ed0bbf," Oh, that would be riveting TV!   Trips to the break room, coffee, toothpicks in the eyes to keep them open.",e riveting,positive
7498,0948a8ea57, // your FACE is stupid.   thanks... i miss you too. HA!,// your FACE is stupid.   thanks... i miss you too. HA,neutral
7506,8854c0c135, soooo over ppl telling me they went to the tonite show!!!  Ive had dreams of meeting him  I`m embarrassd of that a lil LOL,`m embarrass,negative
7513,8375f8713a, HIII!!!!  i`ve missed you  just bored....what about u?,i`ve missed you  just bore,negative
7521,e9ee293ca3,I SO should`ve gone right now!!! *wish I could alter time!!  *,wish I could alter time!!,negative
7528,3641597205, Ayy.  Okayyy. It was nice seeing you kanina ! :> I like your hair. :>,s nice,positive
7530,f01bc3877c, ohh kayy fasho if u go tonight have fun for me,ht have fun for me,positive
7546,c5bde3e64d,back at Wingman after a great weekend,great we,positive
7567,0b3f36bf93, ! HE HAS A FAVOURITE! You`re his favourite ;) OMGAAH.   sorry for creepering? ..not really lol,! HE HAS A FAVOURITE! You`re his favourite ;) OMGAAH.   sorry for creepering? ..not really lo,neutral
7581,43eaa8cbef, nice recolouring of your page  nobody is buying your anti-twittering words!! YOU LOVE IT!!!!,U LOVE,positive
7582,cea3ea124a, i have no phone  whatchu doing tonight sucka. no dane cook she sold the tickets. lamee.,. lamee.,negative
7597,68087dccec,  Wish you both a very Happy and Fabulous Mother`s Day!,y Happy and Fabulous Mother`s Day!,positive
7599,659da76d77,is loving the half day! If only it wasn`t raining.  Soccer Practice tonightt.,loving th,positive
7602,ff1e521d5f,flipping out on my hairloss....gotta go to the doc.,hairloss..,negative
7632,6531e60a4b,is sad that shin ae got married...and it wasn`t to alex,is sad th,negative
7635,0d1cb8107f,mom is ok so far. just missing jaron,just missing jar,negative
7636,e10765aab8,I almost say 'bless you' to a sneezing cat,bless you',positive
7642,84f7577f9c, You have arthritis in them?  Really??  Poor you  That would be painful - but you can`t be that old.  How many squats did u do,be painf,negative
7662,e11a468393," get better omg i still dont believe that i didn`tgot a picture with you  it`s soo sad, i don`t now when i`m gonna see u again",s soo sad,negative
7663,3fd1057ee4, OMG....that is soooo sad.,.that is soooo sad.,negative
7701,d970190769,_Mak request me on bbm & send all ur contact info. Everything didn`t sync up from old phn  I have ur tmail info haha - DATED!,Mak request me on bbm & send all ur contact info. Everything didn`t sync up from old phn  I have ur tmail info haha - DATED!,neutral
7752,b6bc089bb2,"Just had my teeth checked, now my eyes. I`m dying for a coffee but can`t drink for an hour.",can`t drink fo,negative
7758,baa5ccb680, im home alone in the house and imma scared  x,a scared,negative
7765,3b0a210bad,in ten minutes shopping   demi lovato-back around demi lovato-behind enemy lines have you all seen the titanic 2 trailer? its really good!,? its really good!,positive
7769,972c0874b2,"  Oh no matey, did you get ill?  It would be a bit mean of Suzi to be calling you chicken scabs if you`re not!",it mea,negative
7778,2a93a9e4cc, aha yeah  all else fails just push  yeah we are dont know what time were leaving yet though ****,e fails,negative
7780,594162e9a0,"  Tat, You looks beautiful and are a heck of a mama and business woman.   Dana","Tat, You looks beautiful and are a heck of a mama and business woman.   Da",neutral
7788,ddf57c85e5,4 fillings to the good(?); two more appointments to go,4 fillings to the good(?,positive
7801,33b26f5fbe,  still waiting to have a beer with Moldovan. At least he`s happy I came.,. At least he`s happy I came.,positive
7816,9fedf57dce," episode 17 season 1, i love chuck bass.  who`s going to the short stack filming next sat? Im making a flag. ;D",", i love",positive
7818,78d488824a," Hey girl, yeah I did..thanks a bunch!! I haven`t started downloading them yet...I totally owe you.",.I totally owe you.,positive
7831,9ec69eac00,My mouth hurts from this stupid retainer!!,My mouth hurts fr,negative
7836,6d019bb20c,  i for one welcome our new cyber-criminal-overlords.,e welcome,positive
7837,b30b442df8," invite sent   You can now invite more collabs too, pass the word around","invite sent   You can now invite more collabs too, pass the word aroun",neutral
7849,e80a7bb070," Indeed plenty of jokes to be had  Lying on bed hoping it`s going to free up, I`m on Jury service tomorrow...",ed hoping,positive
7893,7968cfa23c," Let`s hope and pray, we go a wiser way! :  Let`s hope and pray, we go a wiser way!  http://bit.ly/TzxqN",s hope,positive
7895,d39b91228c, I`ve given the $19.99 question more thought. U may be right. One host provides HD quality to all viewers? Maybe not.,t. U may be right.,positive
7896,26bb87e379, lol cute.  BTW Happy Mother`s Day lady,W Happy Mother`s Day lady,positive
7922,f69c2e0fd2, You`re welcome...,You`re welcome.,positive
7927,1a6b5fd0b4,  #amtarot Thank you so much!,t Thank,positive
7945,b804b59377, that is sickening... Just shoot at will? Smh... Prayers for his family...,that is sickening.,negative
7948,a58e977af7, yeah back to work  I get out at 3:30 so it`s not that bad,0 so it`s not that bad,positive
7968,e355dfb2af, nothing yet  still looking....but lets for sure do lunch next week!!,t lets for sure do lunch next week!!,positive
7997,ef0a7a1c39, I just added a butt to your name in my phone after I made you go home in the cold. Because I love you!,e I love you!,positive
8003,9ad738db4f,_d awww glad to know Little Sweet D and Leigh are doing good...thanks for the updates Howie,Little Sweet D and Leigh are doing good...thanks for the updates Ho,positive
8005,40d3b2d03c, You right...we are 'arguing' about nothing...I thought it was healthy conversation,.we are 'arguing' about nothing.,negative
8010,1a147f4b49,After work....Hillcats game!   .25 cent hot dogs haha,s haha,negative
8030,dbef1dbef9," just had a look - missed out by a couple of hours, i`m sorry. i`ll let you know next time..",", i`m sorry.",negative
8049,c1c67d1a99,Smiling!  These guys are!    Turn up your speakers and SMILE~life is good! http://www.imtiredonline.com/smile/,ILE~life is go,positive
8051,dc124a304c,"_mcsupergirl ok, finished set u free, and i am sooooo mad rite now...it cant end like that, i dont want him to be the bad guy",i am sooooo mad rite now..,negative
8052,7c17aea36e," ..ok brother...did you change your num and not give it to me, AGAIN??? smh..you no good dude",.you no good dude,negative
8059,537efce045,i am Marina and i sware to God i`ll never again end up studying French till 2 o`clock at night EVER AGAIN...too much drama...sooo sleepy,sware to God i`ll never again en,negative
8060,7192534747," then how come I`m not uber successful?  I`m not making the same mistakes, I`m making entirely new ones!",e mistakes,negative
8078,b13de90512," Ooh, coffee!  Great idea...  want one??",Great idea,positive
8085,5da55949f3, I`m bummed...you`re gonna be only 30 minutes from me on Sunday & I can`t come hear ya.,I`m bummed.,negative
8094,e2722e800d,Rachel Alexandra not in Belmont   but appearing in Vogue.  Best looking model they`ve had in years.,.  Best lookin,positive
8142,8d91c2e24a,Happy Mom`s Day to everyone in the US,Happy Mo,positive
8143,a3e31054d0,"****, nearly forgot my PIN  I shouldn`t try to learn anything new in the future lest it push out more vital information.","****, ne",negative
8151,72d2f465a3,  ugh headache   i just wanna go home,h headache,negative
8153,11404ea118,Definition of senioritis: Me. About to go to chem II and calculus. Not good classes to feel like slackin,Not good cl,negative
8154,66eff42a06," - No hard feelings, I hope  Like I say, I think we agree with each other.","No hard feelings, I hope  Like I say",positive
8161,83141a208c,Took a 4 hour nap after work today and won`t be able to sleep all night    This is a bummer,Took a 4 hour nap after work today and won`t be able to sleep all night    This is a bumme,neutral
8162,e52de75122,Strike one.    (Three and I`m out.),(Three and I`m out,negative
8169,19fc16acac,Another long walk in the heat... I hate this...,in the heat... I hate this..,negative
8170,c17fc0478b, I like that...gonna have to re-tell,I like that.,positive
8171,5c07c9e0e0," Aw, sorry about your cat   No worries about the blankets, I was just wondering, I`m in no rush, take your time!","Aw, sorry about your cat   No worries about the blankets, I was just wondering, I`m in no rush, take your time",neutral
8177,ab42cedf7a,feels disappointed..mahirap talaga mag-supervise ng tao..  http://plurk.com/p/wxqwa,disappointed..,negative
8180,9acded8f61," That`s great Bastos!  I`m happy for you. You gonna do the mabaho leg, to celebrate? haha",That`s great Bastos!  I`m happy for you,positive
8196,a5e81f3773,Afternoon from office  My cubicle has been moved but not the system yippie! Mine is one of te few surviving 'good' system..,! Mine is one of te few surviving 'good' system..,positive
8208,be3ec17722,i fear the spaceship is not long for this earth. it just stranded me and edwin on the highway. there was smoke,i fear th,negative
8212,67beae3c7f," _kat I`ve begged my mum to lt me get them out the attic.. but she wont let me  Waaa... and yes, was spoilt! hehe!",s spoilt,negative
8215,2012705b97,  And it`s only downhill from now until Labor Day!,y downhill,negative
8224,18d67e129c,  i`d give anything to be there. too bad i`m in tennessee.,. too bad,negative
8235,f0db19b48e,  it`s true!   have u downloaded the tweetdeck yet? it is literally amazing  ****,is literally amazi,positive
8241,548de387bc,tafe was actually quite good. for once,tafe was actually quite good. fo,positive
8249,27eed86c41, hi I`m ok   still not feeling great,hi I`m ok   still not feeling grea,negative
8250,7284fda784," ooow those look painful, poor bb","e look painful, poor bb",negative
8275,9440d2dc38,"_Deen   looks like a delicious recipe, will try that tonite",looks like a delicious recipe,positive
8276,30fb85c542, After I water the plants I am headed to the farm. Don`t have any popcorn for the goats   Katnip is looking good under saddle,is looking goo,positive
8282,ea09fd8a70,is feeling her eyes burned-fried after 10 hours attached to the screen uploading new summer clothing for my store www.Chittypulga.com,burned-f,negative
8285,3a09172f7c," Oh dear, it will be late there.... good ol Michigan!  Well I look forward to chatting with you when our wakeful hours overlap.",l I look forward,positive
8286,d7eff05eb3," Ooooh, I`m jealous  I might try and get some for the saturday but I have an exam on the monday that Im gonna fail",t I have an exam on the monday that Im gonna fail,negative
8288,7960915867,  13:00 is kickoff. The red cars hopefully,. The red cars hopefully,positive
8289,385d318976,"  so sorry, I just found the members preview has been sold out for awhile. It opens at Noon to the general public",o sorry,negative
8299,f4622e59e3," o_O thats cool. Dang, iHave to clean my room now  lol, but good luck w/those jobs gurl",t good,positive
8314,d63df6a564, nah I don`t finish til next yearrrr!!!   are u stayin in the bad news after graduation?,the bad new,negative
8338,3f95308882, You are extremely clever my dear.,e extremely clever,positive
8343,2192d9c8ec," cheers mate, still getting over Wednesday  You ok? You should be, you are an incredibly wealthy man",", you are an incredibly wealthy man",positive
8345,d4438dda5a," precisely.  The more followers you have, the more important you feel  http://twitter.pbworks.com/Hashtags explains a bit more.",e important,positive
8349,209aa59fa5, i meant i cnt help but stop chattin wid her.....    gud dat u noe everything.... so do u think its fair????,i meant i cnt help but stop chattin wid her.....    gud dat u noe everything.... so do u think its fair??,neutral
8373,2396ee1b57, please do  I`ll settle for cheap cider for meeting deadline. Have you seen our new blog at www.havealovelytime.com?,o  I`ll settle for cheap cider,negative
8379,2877a4923f, oh ok kool  keep me informed bout that checked ur paged its nice,s nice,positive
8390,019eec771e,The balmain knockoffs in bebe make me sad.....I want the real deal...these shoes look cheapy cheapy.,sad..,negative
8397,283a8993a6," Wooops! Meant I agree with Boomstone..trying 2 reply 2 both, LOL. Happy Mothers Day to you as well!  TTY soon!","h, LOL. Happy Mothers Day to you as well!",positive
8399,2a16bf5fb2, There`s nothing good on tonight anyway!!   #Sigjeans,There`s nothing good on tonight anyway!,negative
8407,856e0ae5aa, britains got talent is rather disappointing this year,r disappointing this year,negative
8410,8693559aaf,"The ballerina family is super nice, albeit a little too controlling of their son`s life, but the bayou family is so judgemental.","The ballerina family is super nice, al",positive
8427,cc3d762b98,Subway=yum!,yum!,positive
8428,5572972d36,about to rehearse...starving!!!,starving!!,negative
8432,c43e221896,Busy week this week; quick trip to chase some oil and gas in htown and then back to office for fun week with the devel team,fun week wi,positive
8437,a8fb2e4763, - I did see it...looks so retro!   I wouldn`t say no to rerecordings...fans LOVED Given One Change.  You have CS Fans!,- I did see it...looks so retro!   I wouldn`t say no to rerecordings...fans LOVED Given One Change.  You have CS Fans,neutral
8439,23c1478113," So sad...found otu about your boot camp too late.   Oh well, may be in LA that day anyway.",sad.,negative
8440,5a25daa522, good!  now let`s go get this done..... www.HennesseyBlack.com,good!  now let`s go get this done,positive
8442,ca94b84d39,**** just spent a week whole of pay on shopping  oh well i`m happy!!!,happy!,positive
8444,175c43e5a8,you know ur dog is getting old when she sits down to eat...poor hilly please don`t grow up,poor hilly,negative
8484,99edd4600f,35 hours in the sun=rash,rash,negative
8490,da769e9be5, Dear god i hope they save it.  http://www.the-impossible-project.com/,Dear god i hope they save it,positive
8493,4a0146e1e6," I`m guessing the belt thing is a no-go since I didn`t hear back..Sorry  Stop by this weekend, we`ll talk bout the ring, etc.",belt thing is a no-go since I didn`t hear back.,negative
8497,4079da5f1a,well...gotta grab at least an hour and a half sleep before the girl`s get up for school...gawd the life of multi-taskin`  night/mornin`,.gawd the life of multi-taskin`  night/mornin`,negative
8500,0ffe509e87," CVS is that like a genetic brand?Poor you,my hubby gets bad allergies..no fun!",?Poor,negative
8507,f5651c950a,So...woke up in time just for work.....boo,boo,negative
8510,8a5155db71, i`m about to have to hang up   my fone is getting to hot,to ha,negative
8534,aee35b84d6,Listening to have heart. Aka i took over carlys last.fm      its 4am need to be up in 4 hours.  Looooong day tomorrow,urs.  Looooong day tomo,negative
8546,6ad46879d5,  don`t remind me.. Was supposed 2 meet up with the Homie  2 4 that show..  Ack! So kill it please..do the **** thang!,Ack! So kill it please..do the **** than,neutral
8559,0cb8a82f7e, Murphy`s Law?  Sorry that your computer is not cooperating when you have lots of work. My kids are .. http://tinyurl.com/km235x,?  Sorry that your computer is not cooperating,negative
8569,1f633af295, Maatt Havent spoken to you in ages dudeee  Dont forget bout ur Aussie fan  ;) lool. Love ya ****,l. Love,positive
8579,01429d15e9,Just getting back into the swing...Still sore from my surgery  and tired...Coffee time!,Still sore from my surgery  and tired.,negative
8588,c036fc3918,This weekend I started a 'Healthy Lifeestyle' - not Diet!     Let`s see how it goes - will keep ya posted on my progress.,Healthy,positive
8594,f9622bf234, IDK....I`m trapped at work all day,.I`m trapped at work,negative
8604,9992b5a34d,*sigh* I`m going to bed... I just don`t feel right anymore...,I just don`t feel right anymore..,negative
8617,546afe7ef5,Brooklyn!!! We went hard!!! Now back up top!! But 1st Hajji`s...yea again  http://tinyurl.com/codla7 http://ti.. http://tinyurl.com/cr8hjs,hard!!,negative
8620,410b8df2b5,  I doubt it! Boo! You always leave me behind on your awesome roadtrips!,! You always leave me behind,negative
8624,3373353ca6,is about to make a nice cup of tea and pop some benadryl...long day...stay positive twitterbugs...goodnight!,.stay positive twitterbugs...goodnight!,positive
8631,1024862c1f,Still not asleep. Ahhh  Wtf?!,Wtf?,negative
8638,253e8c3bee,Now Im crying....  Poor thing..,Im crying..,negative
8661,6f12c6329e, Its goin good takin it easy ths weekend  Im preparing for the big events comin up for me U girls INSPIRE me 2 do great things!!,o great,positive
8671,07c72f9267,"OK, It`s my 1000th Tweet  I`ll use it to simply say 'Thank You!!'. I`ve met some of the most giving/caring people on Twitter!",'Thank You!,positive
8674,e1859d533b,I hate not bringing my ipod to school,hate no,negative
8676,4f8baf372e,  LOL! Girl that video disturbed me  and I love the hk theme too cute!,LOL! Girl that video disturbed me  and I love the hk theme too cute,neutral
8687,abab4e5f84, hey there.  How are you. Pleasant surprise,. Pleasant surprise,positive
8691,c4fb99d6a0,"'somebody calls you, and you answer quite slowly, a girl with kaleidoscope eyes'     yeah, im normal.","'somebody calls you, and you answer quite slowly, a girl with kaleidoscope eyes'     yeah, im norma",neutral
8696,d6e176f5fa, heyy i finally got one too  oh and good luck on your finals today,nd good luck,positive
8703,9023707f7f,"Watching the Broncos vs Chiefs 1994, Montana vs Elway on NFL Network.  I still have nightmares about this game   FU KC!",I still have nightmares about this game   FU KC,negative
8706,c2a4c6c3f2,_Gable It`s good isn`****! Our holiday chalet is out of sight but look v similar to those ones. Going home again today,It`s good isn`****! Ou,positive
8720,320d909cf7," ha! nice.    that`s about all the german you`re gonna get from me.  after that, it`s just counting and jibberish.","ha! nice.    that`s about all the german you`re gonna get from me.  after that, it`s just counting and jibber",neutral
8729,12f21c8f19, star wars ............ is **** BOO??? i wanna do your job HAND IT OVER  u can act as me at my high school   LOL,l,positive
8749,2780126312, and all chevre: please follow me at  for chevre only   I`m using  for public tweeting!  Thanks!,ing!  Th,positive
8756,dacf8c1cda,O and i have to wear a **** jacket today cos i didnt notice a mark on my shirt...,O and i have to wear a **** jacket today cos i didnt notice a mark on my shirt..,neutral
8758,8a39245e7a, Mind telling me which book  cuz i was at barnes and nobles today and found 2 books that looked promising,d found 2 books that looked promising,positive
8769,55127eb379,Everyone MUST watch this...it`s Snowball the dancing bird & he will make your day...I promise!  http://tinyurl.com/37wt5f,he will make your day..,positive
8770,e538779c55,  Sorry to hear that.,Sorry to hear that,negative
8774,f97d20c990,"http://twitpic.com/61ov1 -   i ahte stress, its supposed to be friday! it makes me wanna cry",! it makes me wanna cry,negative
8780,53afaef8f1,",.. oh the Mint Lounge ...AWESOME night",AWESOME,positive
8800,5b5c03a5f0, have you read Angels & Demons? What do you think of it if you have? oh and beautiful sunny weather here in Provence.,? oh and beautiful sunny,positive
8803,32664c1ccf, good morning fella   i have the joy of work to do today.  what are your plans?,good morning fella   i have the joy of work to do toda,positive
8808,7270b12184,"? today  and tomorrow at  taipei, anyone  free for drink?  http://plurk.com/p/rpgyy","today  and tomorrow at  taipei, anyone  free for drink",neutral
8809,e65b9b363a,now feels like a dork for using the wrong Ping group,like a dork fo,negative
8815,95dc9926b8,   Oh Duh....I see that now .....thank you....,...than,positive
8827,b78beab7b8, *hugs*  I`m so sorry.. anything I can do?,I`m so sorry.,positive
8830,e2af354725," oh no!  thats no good! I pierced  my bottom lip on the right side...myself in 12th grade, but we had a no piercings dress code","oh no!  thats no good! I pierced  my bottom lip on the right side...myself in 12th grade, but we had a no piercings dress cod",negative
8859,ecbb78f0d1," in anticipation of him making me a cup of tea, I`m agreeing. Now it must happen!  No, he is awesome.",is awesome,positive
8875,0eb7e40110, haha have good dreams  haha best friends forever! haha. be sweet to presh bailey   zd?b;P,a best,positive
8902,3412e405af,Brad Paisley+Alison Krauss- Whiskey Lullaby...so sad  but its awesome!,so sad  but its awesome!,neutral
8906,6206f94eda," blue skies? where, it`s still grey and hazy out of my window",l grey and hazy,negative
8910,26b6bc7268, I hear U. I can barley keep up with the followers I currently have. Its tuff on a mobile device.,. Its tuff,negative
8917,f54cfdafa1,_Happy_EmoX lmao. Lucky! It`s 10 minutes on foot for me  ewww..... School.lol. On the bus now.,ewww.,negative
8919,567d245237,is so tired ive walked 6.05 kilometres today,is so tired iv,negative
8922,bd79135b7f, It was an app that changed your wallpaper to one of several hundred at random intervals. It`s hard to find good wallpapers.,. It`s hard to find good wallpapers.,negative
8951,037786f72b,Just got done working out....relaxing than off to work,relaxing,positive
8954,eee8f9c860,Stuck in traffic on the 91 on the way to costa mesa,Stuck in tr,negative
8956,700854e873,"  You are such a positive thinker, I am for sure keeping you around!",You are such a positive thinker,positive
8968,fdac594a05," Thanks for asking, Sarah  I am glad tomorrow (5th) is a holiday here in Korea. I will have some rest and I will be right as rain.",m glad,positive
8972,b7e7e4bb8d," awww, im so sorry hun  im sure she didn`t do it on purpose though, she seems so sweet! Maybe it was a 24 hour thing? :s","awww, im so sorry hun  im sure she didn`t do it on purpose though, she seems so sweet",negative
8985,0f480595d4," I`m not going on the cruise. Wish I was, but I`m just going on vacation. Thanks though",. Thanks,positive
8986,f4351f70ab, you guys ROCKED IT tonight in LA!! Love ya guys and cab wait to see another awesome show soon,! Love ya guys and cab wait to see another awesome show soon,positive
8991,634cf7946f,"Thought I`d check out home, that was 10 minutes ago, downloading update, now home square....that`s why I can`t be bothered with it Sony",that`s why I can`t be bothered with it Sony,positive
8999,e043f48c0b,Listen to Back Around by  ...love this song. Meet  tomorrow ^.^ But we canï¿½t go swimming  Sorry,Listen to Back Around by  ...love this song. Meet  tomorrow ^.^ But we canï¿½t go swimming  Sorr,neutral
9014,e0e4a216f9, -thanks i hope i do 2  iv been playing dmc4 like 5 times kinda sick of it hehe,s kinda sick of it,negative
9034,5fca04679e," nnnaaa uhhhh playah! shawty aint got nun, maybe it was ur phone or mines  but I wanted to hit me up when u left the studio",ut I wanted to hit me up,negative
9050,e23098b70a,i found a ride...YES!!! liquor here i come,YES!!!,positive
9060,774687e979,  what good role models...  i like how yinz think!,what good role models,positive
9063,3e775363a1,  We can`t even call you from belgium  sucks,m  suck,negative
9070,f294664ee8, so sad...sorry to hear that.  She was a sweet dog.,so sad.,negative
9072,6422b79b69, - all is fine  thanks! you guys dont have any quakes there?,thanks,positive
9088,d88843944c," Nope, re-reading it all over again.     No offense meant","Nope, re-reading it all over again.     No offense mea",neutral
9098,4d73395dbd,It`s sunny and I feel really well today!  Yippeee!,really well to,positive
9112,f6a79c28cf,"  he`s hard to please, methinks he has the picture in his head just fine",d just fine,positive
9113,4eceb29bf2, Thanks   Our little girl just loves animals so all the `oohs` and `aahs` were very cute!,ry cute,positive
9122,fcf18faa22,   Hey everyone! I just mixed the first single....!  'Why R U' ...I`m sooo excited!,...I`m sooo excite,positive
9127,059fe3eec4,Done With Exams...Now Focusing on Summer School...DAYUUMM Life`s Hard,DAYUUMM Life`s Hard,negative
9140,b58dc7a61d, lunch was going home to rest...not well today,.not well today,negative
9155,5db904a131," I like it too  I hadn`t seen the clip before, though; pretty cool!",; pretty cool!,positive
9157,0ed9ca602a, oooh lush. i cant sunbathe i burn way to easily even with sun cream   im great thanks lovely sunny day no?,at thanks lovely sunny day no,positive
9169,cd89b279ef,http://twitpic.com/4wf30 - EEEEEEEEEEE!!!!! IT CAME!!!!,EEEEEEEEEEE!!,positive
9179,17a5aa9835, i know   but its better than nothing,i know   but its better than nothin,positive
9190,e57133818c, Hello pal..nice 2 c u today...have a gr8 week,.nice 2 c u today.,positive
9216,ec5fc64d62,can i have some followers :` ( ... i`m so sad...    NOW THAT I`M LOSING HOPE -pressure,:` ( ... i`m so sad..,negative
9223,17ebc1d633,I`ve had a sore throat since monday morning ...I`m just sick of it hurtin and I want some freakin sleep!,I`m just sick of it hurtin,negative
9226,b8983ab7a2,"yaayy, cannot wait for today girls!  gotta get dressed this early, because were going early!","yaayy, ca",positive
9264,e84601441b, my poor baby I think it`s allergies! Can I do amything about it bc he`s been that way sence monday,y poor baby I think it`s allergies!,negative
9272,cee8acf2eb,WTF? Twitter doesnt support messages from my phone -I wanted to be able to Twit while on vacay.   Poo on you Twitter,doesnt support me,negative
9281,5036147803,Wow... I was tricked into the #hoppusday hype today....,Wow... I was tricked in,positive
9283,ee00398fbf, MCM is still my next main event.  I`ll be happy to get back running soon.  Still run-less for 10 days.,I`ll be happy to get back running soon,positive
9297,9db597413a,rock week  i don`t think danny`s gonna go home this week  he`s never been in the bottom three.. and he`s a really good singer,d he`s a really good singer,positive
9300,fafc26d78f,went to the dmv today.....some things never change,some things never change,negative
9303,5bfc188fd2, well i just got home and its not on till tmw at 530p but with comcast its on right now  but i didnt miss it,t i didnt miss it,positive
9322,ef09fd984c," be clear, I am Catholic, but wholeheartedly agree with you.  ('Same here' was ambiguous) #tcot #hhrs",t wholeheartedly agree with you.,positive
9354,348e0a37da,"What I Meant to Say: At Yardhouse, Waikiki.  `s bday    (she Should DJ!) & some dozen others","What I Meant to Say: At Yardhouse, Waikiki.  `s bday    (she Should DJ!) & some dozen other",neutral
9356,e2b120810e," Thanks!!!!  Like I said on facebook, you just made me awesomely happy.  Thanks.","Thanks!!!!  Like I said on facebook, you just made me awesomely happy.  Thanks",positive
9361,c6c1b7a360, Great... I`ll check it when I get off work...  They block Sims at work...,Great.,positive
9374,d26c5ba7ad,Still awake lol Finished talking to a really good Brawl player. We talking in SmashSpace.ning.com  Join the website if you like SSBB!,really good Br,positive
9377,72f3016b57,"Wow, NOT free WiFi && you have to pay for parking!? Reduculous!!!",Reduculous!!,negative
9381,03793d3a38," well if you`re ever headed back to the west coast, hit me up. I have a tiny place, but we can hack and hang out at the beach",d hang out at the beach,positive
9385,b1bc6d98f9,Wish i was famous like some of d people im following,Wish i was famous li,neutral
